year       ,Jmprec,Fprec,ln(lxbx+0.5),SP,,,,,,,,,,,
1984,1.524,0,0.7699,ERCI,,,,,,,,,,,lnJM
1985,9.144,4.3434,1.5656,ERCI,,,,,,,,,,,
1986,8.001,2.3114,2.4685,ERCI,,,,,,,,,,,
1987,8.3312,4.5974,2.9497,ERCI,,,,,,,,,,,
1988,2.7178,1.0922,-0.4136,ERCI,,,,,,,,,,,
1989,4.445,0.2032,-0.6931,ERCI,,,,,,,,,,,
1990,8.4328,1.7018,3.1711,ERCI,,,,,,,,,,,
1991,10.2616,2.0828,4.0313,ERCI,,,,,,,,,,,
1992,14.1224,5.1562,3.6154,ERCI,,,,,,,,,,,
1993,20.6248,3.7084,1.8124,ERCI,,,,,,,,,,,
1994,6.5278,3.2258,1.5041,ERCI,,,,,,,,,,,
1995,9.3218,4.7244,3.4044,ERCI,,,,,,,,,,,
1996,4.5974,3.7846,-0.6931,ERCI,,,,,,,,,,,
1997,3.8608,1.778,-0.2412,ERCI,,,,,,,,,,,
1998,16.0274,10.668,5.2328,ERCI,,,,,,,,,,,
1999,0.1016,0,-0.6931,ERCI,,,,,,,,,,,
2000,3.683,0.2794,-0.6931,ERCI,,,,,,,,,,,
2001,6.0706,0.4064,4.9351,ERCI,,,,,,,,,,,
2002,0.762,0.0762,-0.6931,ERCI,,,,,,,,,,,
2003,4.3688,2.8702,2.5561,ERCI,,,,,,,,,,,
2004,5.2578,0.8128,2.7678,ERCI,,,,,,,,,,,
2005,10.414,5.6896,4.5765,ERCI,,,,,,,,,,,
1984,1.524,0,-0.1178,ERLA,,,,,,,,,,,
1985,9.144,4.3434,1.978,ERLA,,,,,,,,,,,
1986,8.001,2.3114,1.7724,ERLA,,,,,,,,,,,
1987,8.3312,4.5974,2.8057,ERLA,,,,,,,,,,,
1988,2.7178,1.0922,1.1826,ERLA,,,,,,,,,,,
1989,4.445,0.2032,-0.6931,ERLA,,,,,,,,,,,
1990,8.4328,1.7018,2.8082,ERLA,,,,,,,,,,,
1991,10.2616,2.0828,4.2174,ERLA,,,,,,,,,,,
1992,14.1224,5.1562,4.3823,ERLA,,,,,,,,,,,
1993,20.6248,3.7084,3.23,ERLA,,,,,,,,,,,
1994,6.5278,3.2258,2.8332,ERLA,,,,,,,,,,,
1995,9.3218,4.7244,3.2152,ERLA,,,,,,,,,,,
1996,4.5974,3.7846,-0.6931,ERLA,,,,,,,,,,,
1997,3.8608,1.778,-0.6931,ERLA,,,,,,,,,,,
1998,16.0274,10.668,6.0489,ERLA,,,,,,,,,,,
1999,0.1016,0,-0.6931,ERLA,,,,,,,,,,,
2000,3.683,0.2794,.,ERLA,,,,,,,,,,,
2001,6.0706,0.4064,5.0752,ERLA,,,,,,,,,,,
2002,0.762,0.0762,.,ERLA,,,,,,,,,,,
2003,4.3688,2.8702,6.0102,ERLA,,,,,,,,,,,
2004,5.2578,0.8128,.,ERLA,,,,,,,,,,,
2005,10.414,5.6896,4.924,ERLA,,,,,,,,,,,
1984,1.524,0,0.2624,ERTE,,,,,,,,,,,
1985,9.144,4.3434,2.9178,ERTE,,,,,,,,,,,
1986,8.001,2.3114,1.7047,ERTE,,,,,,,,,,,
1987,8.3312,4.5974,2.1136,ERTE,,,,,,,,,,,
1988,2.7178,1.0922,0.026,ERTE,,,,,,,,,,,
1989,4.445,0.2032,-0.6931,ERTE,,,,,,,,,,,
1990,8.4328,1.7018,2.2513,ERTE,,,,,,,,,,,
1991,10.2616,2.0828,2.8184,ERTE,,,,,,,,,,,
1992,14.1224,5.1562,4.1934,ERTE,,,,,,,,,,,
1993,20.6248,3.7084,-0.6931,ERTE,,,,,,,,,,,
1994,6.5278,3.2258,0.6931,ERTE,,,,,,,,,,,
1995,9.3218,4.7244,1.7047,ERTE,,,,,,,,,,,
1996,4.5974,3.7846,-0.6931,ERTE,,,,,,,,,,,
1997,3.8608,1.778,2.3514,ERTE,,,,,,,,,,,
1998,16.0274,10.668,4.4868,ERTE,,,,,,,,,,,
1999,0.1016,0,-0.6931,ERTE,,,,,,,,,,,
2000,3.683,0.2794,-0.6931,ERTE,,,,,,,,,,,
2001,6.0706,0.4064,4.3702,ERTE,,,,,,,,,,,
2002,0.762,0.0762,-0.6931,ERTE,,,,,,,,,,,
2003,4.3688,2.8702,2.7839,ERTE,,,,,,,,,,,
2004,5.2578,0.8128,2.5445,ERTE,,,,,,,,,,,
